Country,Energy_type,Year,Energy_consumption,Energy_production,GDP,Population,Energy_intensity_per_capita,Energy_intensity_by_GDP,CO2_emission
Azerbaijan,renewables_n_other,2000,0.017276383,0.015495319,32.8859,8122.74,62.46888898,15.42966874,0
Bahrain,all_energy_types,2000,0.381740311,0.414906905,31.1057,630.513,605.4439965,12.27235878,20.29840079
Bahrain,coal,2000,0,0,31.1057,630.513,605.4439965,12.27235878,0
Bahrain,natural_gas,2000,0.316874079,0.316874079,31.1057,630.513,605.4439965,12.27235878,16.49840079
Bahrain,petroleum_n_other_liquids,2000,0.064866232,0.098032826,31.1057,630.513,605.4439965,12.27235878,3.8
Bahrain,nuclear,2000,,,31.1057,630.513,605.4439965,12.27235878,0
Bahrain,renewables_n_other,2000,0,0,31.1057,630.513,605.4439965,12.27235878,0
Bangladesh,all_energy_types,2000,0.510508679,0.350521732,254.718,127658,3.99903397,2.00421124,28.44799348
Bangladesh,coal,2000,0.021310819,0,254.718,127658,3.99903397,2.00421124,1.847138977
Bangladesh,natural_gas,2000,0.335361835,0.335361835,254.718,127658,3.99903397,2.00421124,16.6008545
Bangladesh,petroleum_n_other_liquids,2000,0.144272588,0.00559646,254.718,127658,3.99903397,2.00421124,10
Bangladesh,nuclear,2000,,,254.718,127658,3.99903397,2.00421124,0
Bangladesh,renewables_n_other,2000,0.009563438,0.009563438,254.718,127658,3.99903397,2.00421124,0
Barbados,all_energy_types,2000,0.023766992,0.004687145,4.15026,271.511,87.53601782,5.726627183,1.592202715
Barbados,coal,2000,0,0,4.15026,271.511,87.53601782,5.726627183,0
Barbados,natural_gas,2000,0.001401796,0.001401796,4.15026,271.511,87.53601782,5.726627183,0.092202715
Barbados,petroleum_n_other_liquids,2000,0.022365196,0.003285349,4.15026,271.511,87.53601782,5.726627183,1.5
Barbados,nuclear,2000,,,4.15026,271.511,87.53601782,5.726627183,0
Barbados,renewables_n_other,2000,0,0,4.15026,271.511,87.53601782,5.726627183,0
Belarus,all_energy_types,2000,1.090874683,0.087263269,78.9782,9871.63,110.5060343,13.8123518,57.93624122
Belarus,coal,2000,0.010049994,0,78.9782,9871.63,110.5060343,13.8123518,1.496816388
Belarus,natural_gas,2000,0.71782106,0.007360953,78.9782,9871.63,110.5060343,13.8123518,33.43942483
Belarus,petroleum_n_other_liquids,2000,0.335808246,0.079626889,78.9782,9871.63,110.5060343,13.8123518,23
Belarus,nuclear,2000,,,78.9782,9871.63,110.5060343,13.8123518,0
Belarus,renewables_n_other,2000,0.027195384,0.000275427,78.9782,9871.63,110.5060343,13.8123518,0
Belgium,all_energy_types,2000,2.702924515,0.492187305,412.142,10254.28,263.5898878,6.558236032,136.008745
Belgium,coal,2000,0.283429335,0,412.142,10254.28,263.5898878,6.558236032,27.43085766
Belgium,natural_gas,2000,0.589845079,6.07E-05,412.142,10254.28,263.5898878,6.558236032,31.13757034
Belgium,petroleum_n_other_liquids,2000,1.298991625,0,412.142,10254.28,263.5898878,6.558236032,77.440317
Belgium,nuclear,2000,0.473693427,0.473693427,412.142,10254.28,263.5898878,6.558236032,0
Belgium,renewables_n_other,2000,0.056965048,0.018433207,412.142,10254.28,263.5898878,6.558236032,0
Belize,all_energy_types,2000,0.008235402,0.001124456,1.59118,247.31,33.29991577,5.175657166,0.4
Belize,coal,2000,0,0,1.59118,247.31,33.29991577,5.175657166,0
Belize,natural_gas,2000,0,0,1.59118,247.31,33.29991577,5.175657166,0
Belize,petroleum_n_other_liquids,2000,0.007110946,0,1.59118,247.31,33.29991577,5.175657166,0.4
Belize,nuclear,2000,,,1.59118,247.31,33.29991577,5.175657166,0
Belize,renewables_n_other,2000,0.001124456,0.001124456,1.59118,247.31,33.29991577,5.175657166,0
Benin,all_energy_types,2000,0.023423692,0.001571522,16.6737,6865.95,3.411573322,1.404828673,1.3
Benin,coal,2000,0,0,16.6737,6865.95,3.411573322,1.404828673,0
Benin,natural_gas,2000,0,0,16.6737,6865.95,3.411573322,1.404828673,0
Benin,petroleum_n_other_liquids,2000,0.02214085,0.00155112,16.6737,6865.95,3.411573322,1.404828673,1.3
Benin,nuclear,2000,,,16.6737,6865.95,3.411573322,1.404828673,0
Benin,renewables_n_other,2000,0.001282842,2.04E-05,16.6737,6865.95,3.411573322,1.404828673,0
Bermuda,all_energy_types,2000,0.00823178,0,5.52893,65.017,126.6096606,1.488855945,0.5
Bermuda,coal,2000,0,0,5.52893,65.017,126.6096606,1.488855945,0
Bermuda,natural_gas,2000,0,0,5.52893,65.017,126.6096606,1.488855945,0
Bermuda,petroleum_n_other_liquids,2000,0.00823178,0,5.52893,65.017,126.6096606,1.488855945,0.5
Bermuda,nuclear,2000,,,5.52893,65.017,126.6096606,1.488855945,0
Bermuda,renewables_n_other,2000,0,0,5.52893,65.017,126.6096606,1.488855945,0
Bhutan,all_energy_types,2000,0.01696896,0.019556572,2.15502,591.014,28.71160364,7.874154167,0.198763745
Bhutan,coal,2000,0.001206648,0.00127638,2.15502,591.014,28.71160364,7.874154167,0.098763745
Bhutan,natural_gas,2000,0,0,2.15502,591.014,28.71160364,7.874154167,0
Bhutan,petroleum_n_other_liquids,2000,0.002183855,0,2.15502,591.014,28.71160364,7.874154167,0.1
Bhutan,nuclear,2000,,,2.15502,591.014,28.71160364,7.874154167,0
Bhutan,renewables_n_other,2000,0.013578456,0.018280192,2.15502,591.014,28.71160364,7.874154167,0
Bolivia,all_energy_types,2000,0.14872695,0.216187883,40.7328,8418.27,17.66716321,3.651282259,8.0622599
Bolivia,coal,2000,0,0,40.7328,8418.27,17.66716321,3.651282259,4.86E-05
Bolivia,natural_gas,2000,0.046499261,0.122521861,40.7328,8418.27,17.66716321,3.651282259,1.76221126
Bolivia,petroleum_n_other_liquids,2000,0.081698776,0.073192615,40.7328,8418.27,17.66716321,3.651282259,6.3
Bolivia,nuclear,2000,,,40.7328,8418.27,17.66716321,3.651282259,0
Bolivia,renewables_n_other,2000,0.020528913,0.020473407,40.7328,8418.27,17.66716321,3.651282259,0
Bosnia and Herzegovina,all_energy_types,2000,0.22067626,0.159303223,26.5349,3751.18,58.82849118,8.316453408,12.81798659
Bosnia and Herzegovina,coal,2000,0.113505876,0.10785958,26.5349,3751.18,58.82849118,8.316453408,10.04624527
Bosnia and Herzegovina,natural_gas,2000,0.010509744,0,26.5349,3751.18,58.82849118,8.316453408,0.371741323
Bosnia and Herzegovina,petroleum_n_other_liquids,2000,0.048523225,0,26.5349,3751.18,58.82849118,8.316453408,2.4
Bosnia and Herzegovina,nuclear,2000,,,26.5349,3751.18,58.82849118,8.316453408,0
Bosnia and Herzegovina,renewables_n_other,2000,0.048137415,0.051443643,26.5349,3751.18,58.82849118,8.316453408,0
Botswana,all_energy_types,2000,0.048960788,0.020933489,16.81807,1643.335,29.7935528,2.91120135,2.798868952
Botswana,coal,2000,0.02085396,0.020933489,16.81807,1643.335,29.7935528,2.91120135,1.498868952
Botswana,natural_gas,2000,0,0,16.81807,1643.335,29.7935528,2.91120135,0
Botswana,petroleum_n_other_liquids,2000,0.024742596,0,16.81807,1643.335,29.7935528,2.91120135,1.3
Botswana,nuclear,2000,,,16.81807,1643.335,29.7935528,2.91120135,0
Botswana,renewables_n_other,2000,0.003364232,0,16.81807,1643.335,29.7935528,2.91120135,0
Brazil,all_energy_types,2000,8.476070843,6.621392963,1980.851,175090,48.40979407,4.279004752,341.8133297
Brazil,coal,2000,0.508348425,0.108440628,1980.851,175090,48.40979407,4.279004752,49.06919773
Brazil,natural_gas,2000,0.346708544,0.267744204,1980.851,175090,48.40979407,4.279004752,12.74413196
Brazil,petroleum_n_other_liquids,2000,4.224422877,2.800932043,1980.851,175090,48.40979407,4.279004752,280
